PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10185,AEX,10466,AZA,2026,2
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10185,AEX,11540,ELP,2026,2
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10292,AMS,13198,MCI,2026,2
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",10466,AZA,10172,ADW,2026,1
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11032,CUN,10466,AZA,2026,2
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11066,CMH,13198,MCI,2026,1
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,10466,AZA,2026,1
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,14312,PVR,2026,2
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13198,MCI,16163,YQB,2026,2
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",13487,MSP,14492,RDU,2026,2
0.00,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",14533,RIV,10423,AUS,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10157,ACV,10800,BUR,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10325,APA,14530,RIL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10325,APA,14570,RNO,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10329,APF,12264,IAD,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10329,APF,13898,OPF,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10372,ASE,11292,DEN,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10519,BCT,10329,APF,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10519,BCT,11697,FLL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10519,BCT,14027,PBI,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10540,BED,14332,PYM,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10540,BED,14685,SAV,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,10372,ASE,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,14771,SFO,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,14908,SNA,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,15618,VNY,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",10800,BUR,15618,VNY,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10849,BZN,15167,TEB,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",10994,CHS,14050,PDK,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11109,COS,10630,BJC,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",11259,DAL,11921,GJT,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11259,DAL,12264,IAD,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11259,DAL,14832,SJD,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11292,DEN,10372,ASE,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",11433,DTW,12264,IAD,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",11503,EGE,14107,PHX,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11697,FLL,10329,APF,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",11697,FLL,10444,AXA,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11697,FLL,10519,BCT,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11697,FLL,10599,BHM,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",11697,FLL,15030,SUA,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11697,FLL,15167,TEB,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11714,FMY,12264,IAD,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11789,FTW,11259,DAL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",11789,FTW,11697,FLL,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",11868,GCM,12264,IAD,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12124,HHH,15628,VRB,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,10519,BCT,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,10540,BED,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,11259,DAL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,11697,FLL,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,11899,GFL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,12124,HHH,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,13898,OPF,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,14332,PYM,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,15167,TEB,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12197,HPN,15167,TEB,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",12211,HSH,14530,RIL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12244,HVN,15167,TEB,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",12247,HWD,14252,PSC,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",12264,IAD,11433,DTW,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12264,IAD,11433,DTW,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",12264,IAD,11697,FLL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12264,IAD,12197,HPN,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12264,IAD,14027,PBI,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",12264,IAD,15167,TEB,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12266,IAH,11697,FLL,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",12337,IN2,10849,BZN,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12441,JAC,13232,MDW,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12889,LAS,10849,BZN,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",12889,LAS,14530,RIL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",13232,MDW,10519,BCT,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",13232,MDW,10800,BUR,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",13232,MDW,15447,UGN,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",13232,MDW,15447,UGN,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",13303,MIA,10444,AXA,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",13303,MIA,14027,PBI,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",13303,MIA,14027,PBI,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",13303,MIA,15167,TEB,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",13541,MVY,15167,TEB,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",13898,OPF,10329,APF,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",13898,OPF,11697,FLL,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",13898,OPF,12441,JAC,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",13898,OPF,14635,RSW,2026,1
0.00,27Q,"Jet Aviation Flight Services, Inc.",13930,ORD,13232,MDW,2026,2
0.00,27Q,"Jet Aviation Flight Services, Inc.",14027,PBI,14262,PSP,2026,2
